f[GHz],theta[deg],phi[deg],RCS[dB]
26,-42,20,-24.008
26,-40,20,-21.979
26,-38,20,-27.395
26,-36,20,-31.444
26,-34,20,-27.675
26,-32,20,-23.092
26,-30,20,-22.838
26,-28,20,-18.434
26,-26,20,-26.309
26,-24,20,-28.399
26,-22,20,-24.177
26,-20,20,-38.018
26,-18,20,-28.93
26,-16,20,-32.985
26,-14,20,-21.417
26,-12,20,-20.872
26,-10,20,-25.816
26,-8,20,-28.624
26,-6,20,-15.23
26,-4,20,-10.999
26,-2,20,-7.4529
26,0,20,-1.3069
26,2,20,3.7341
26,4,20,3.7481
26,6,20,-0.83791
26,8,20,-6.8089
26,10,20,-15.299
26,12,20,-19.099
26,14,20,-21.97
26,16,20,-17.027
26,18,20,-20.052
26,20,20,-21.647
26,22,20,-24.5
26,24,20,-22.612
26,26,20,-20.255
26,28,20,-27.841
26,30,20,-24.574
26,32,20,-32.365
26,34,20,-25.071
26,36,20,-22.963
26,38,20,-30.193
26,40,20,-21.71
26,42,20,-28.279
26,44,20,-22.894
26,46,20,-25.282
26,48,20,-29.758
26,50,20,-25.289
26,52,20,-19.659
26,54,20,-26.276
26,56,20,-30.116
26,58,20,-23.494
26,60,20,-30.342
26,62,20,-29.745
26,64,20,-31.702
26,66,20,-28.356
26,68,20,-20.419
26,70,20,-29.023
26,72,20,-21.846
26,74,20,-21.117
26,76,20,-26.636
26,78,20,-27
26,80,20,-18.553
26,82,20,-19.152
26,84,20,-35.703
26,86,20,-31.018
26,88,20,-19.625
26,90,20,-19.308
26,-90,22,-26.424
26,-88,22,-14.894
26,-86,22,-15.788
26,-84,22,-17.205
26,-82,22,-17.111
26,-80,22,-21.766
26,-78,22,-22.611
26,-76,22,-19.131
26,-74,22,-31.661
26,-72,22,-34.912
26,-70,22,-27.799
26,-68,22,-27.814
26,-66,22,-26.541
26,-64,22,-24.62
26,-62,22,-29.137
26,-60,22,-22.873
26,-58,22,-21.293
26,-56,22,-21.447
26,-54,22,-23.029
26,-52,22,-22.616
26,-50,22,-22.01
26,-48,22,-18.763
26,-46,22,-29.562
26,-44,22,-26.986
26,-42,22,-22.997
26,-40,22,-26.922
26,-38,22,-28.327
26,-36,22,-28.141
26,-34,22,-35.679
26,-32,22,-24.817
26,-30,22,-26.359
26,-28,22,-19.738
26,-26,22,-22.719
26,-24,22,-24.762
26,-22,22,-28.185
26,-20,22,-34.118
26,-18,22,-33.897
26,-16,22,-28.621
26,-14,22,-21.147
26,-12,22,-23.587
26,-10,22,-21.929
26,-8,22,-39.955
26,-6,22,-15.501
26,-4,22,-11.969
26,-2,22,-7.3979
26,0,22,-1.2259
